Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,3,2016,5600,11289600,2016,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,1,664,5600,3718400,664,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,3,2035,5600,11396000,2035,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,3,NaN,New,NaN,NaN,NaN,July 2020,3,1866,4500,8397000,1866,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,1,655,5600,3668000,655,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,1,654,5600,3662400,654,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,3,1984,5600,11110400,1984,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,3,2002,5600,11211200,2002,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,3,1981,5600,11093600,1981,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,2,1309,5600,7330400,1309,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,2,1308,5600,7324800,1308,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,1,651,5600,3645600,651,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,2,1272,5600,7123200,1272,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,2,1304,5600,7302400,1304,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,3,1952,5600,10931200,1952,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,2,1278,5600,7156800,1278,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,2,1276,5600,7145600,1276,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,3,1953,5600,10936800,1953,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,3,1932,5600,10819200,1932,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,3,1925,5600,10780000,1925,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,2,1259,5600,7050400,1259,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,2,1314,5600,7358400,1314,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,3,1946,5600,10897600,1946,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,3,1956,5600,10953600,1956,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,2,1282,5600,7179200,1282,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,3,1959,5600,10970400,1959,Coimbatore
Available,Available,Not Available,Available,Not Available,Available,Not Available,Available,Under Construction,3,4th of 5,NaN,NaN,NaN,NaN,September 2020,3,1582,4872,7707504,1582,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,3,1929,5600,10802400,1929,Coimbatore
Available,Available,Not Available,Available,Not Available,Available,Not Available,Available,Under Construction,2,4th of 5,NaN,NaN,NaN,NaN,September 2020,2,1253,4942,6192326,1253,Coimbatore
Available,Available,Not Available,Available,Not Available,Available,Not Available,Available,Under Construction,1,1st of 5,NaN,NaN,NaN,NaN,September 2020,2,655,4788,3136140,655,Coimbatore
Available,Available,Not Available,Available,Not Available,Available,Not Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,September 2020,2,1234,4872,6012048,1234,Coimbatore
Available,Available,Not Available,Available,Not Available,Available,Not Available,Available,Under Construction,1,3rd of 5,NaN,NaN,NaN,NaN,September 2020,2,678,5152,3493056,678,Coimbatore
Not Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,February 2020,2,1121,3797,4256437,1121,Coimbatore
Not Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,February 2020,2,1396,3910,5458360,1396,Coimbatore
Not Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,1,2nd of 4,NaN,NaN,NaN,NaN,December 2019,2,730,3739,2729470,730,Coimbatore
Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,1,3rd of 4,NaN,NaN,NaN,NaN,December 2019,2,756,3699,2796444,756,Coimbatore
Not Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,February 2020,2,1126,3797,4275422,1126,Coimbatore
Not Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,February 2020,2,1162,3893,4523666,1162,Coimbatore
Not Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,February 2020,2,914,3935,3596590,914,Coimbatore
Not Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,February 2020,2,1403,3910,5485730,1403,Coimbatore
Not Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,February 2020,2,1093,3798,4151214,1093,Coimbatore
Not Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,February 2020,2,1114,3798,4230972,1114,Coimbatore
Not Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,February 2020,2,1099,3800,4176200,1099,Coimbatore
Not Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,February 2020,2,881,3938,3469378,881,Coimbatore
Not Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,February 2020,2,1394,4018,5601092,1394,Coimbatore
Not Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,1,3rd of 4,NaN,NaN,NaN,NaN,December 2019,1,735,3673,2699655,735,Coimbatore
Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,1,2nd of 4,NaN,NaN,NaN,NaN,December 2019,2,740,3689,2729860,740,Coimbatore
Not Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,1,2nd of 4,NaN,NaN,NaN,NaN,December 2019,1,608,3699,2248992,608,Coimbatore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,1250,3680,4600000,1250,Coimbatore
Not Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,1,2nd of 4,NaN,NaN,NaN,NaN,December 2019,1,608,3699,2248992,608,Coimbatore
Not Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,1st of 5,NaN,NaN,NaN,NaN,April 2020,2,752,4920,3699840,752,Coimbatore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,December 2020,1,640,5156,3299840,640,Coimbatore
Not Available,Not Available,Available,Available,Not Available,Available,Not Available,Not Available,Ready to move,1,3rd of 4,NaN,NaN,NaN,NaN,February 2020,1,608,4111,2499488,608,Coimbatore
Not Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,2,1st of 5,NaN,NaN,NaN,NaN,April 2020,2,1226,4893,5998818,1226,Coimbatore
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Under Construction,2,3rd of 4,NaN,NaN,NaN,NaN,November 2020,2,738,4200,3099600,738,Coimbatore
Not Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,1st of 5,NaN,NaN,NaN,NaN,April 2020,2,796,4899,3899604,796,Coimbatore
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 8,NaN,NaN,NaN,NaN,November 2020,2,1300,5000,6500000,1300,Coimbatore
Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,3rd of 4,NaN,NaN,NaN,NaN,October 2020,3,1605,4672,7498560,1605,Coimbatore
Available,Available,Available,Not Available,Available,Not Available,Available,Not Available,Ready to move,3,6th of 8,NaN,NaN,NaN,NaN,October 2020,3,2470,13765,33999550,2470,Coimbatore
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,2,3rd of 4,NaN,NaN,NaN,NaN,December 2020,2,464,3448,1599872,464,Coimbatore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,2nd of 4,NaN,NaN,NaN,NaN,March 2020,3,3000,13000,39000000,3000,Coimbatore
Available,Available,Not Available,Available,Not Available,Available,Available,Not Available,Under Construction,1,1st of 100,NaN,NaN,NaN,NaN,December 2019,3,690,1014,699660,690,Coimbatore
