"Url","Name","price","posteddate"
"https://www.makaan.com/varanasi/builder-project-in-paharia-9152366/2bhk-900-sqft-apartment","900 sq ft 2 BHK Apartment for sale at Rs 32.00 lacs in Project in Paharia, Varanasi","32LEMI","Posted a year ago"
"https://www.makaan.com/varanasi/builder-project-in-bhelupur-9905258/3bhk-2t-4000-sqft-apartment","4000 sq ft 3 BHK 2T Apartment for sale at Rs 60.00 lacs in Project in Bhelupur, Varanasi","60LEMI","Posted 8 months ago"
"https://www.makaan.com/varanasi/builder-project-in-sikraul-11475091/2bhk-2t-1020-sqft-apartment","1020 sq ft 2 BHK 2T East facing Apartment for sale at Rs 48.00 lacs in Project 2th floor in Sikraul, Varanasi","48LEMINegotiable","Posted 2 months ago"
"https://www.makaan.com/varanasi/shree-sai-baba-infra-project-sai-gaon-in-kaazi-sarai-11602017/2bhk-1t-1000-sqft-apartment","1000 sq ft 2 BHK 1T Apartment for sale at Rs 25.50 lacs in Shree Sai Baba Sai Gaon in Kaazi Sarai, Varanasi","25.5LEMI","Posted 4 months ago"
"https://www.makaan.com/varanasi/shree-sai-baba-infra-project-sai-gaon-in-kaazi-sarai-11728135/2bhk-2t-718-sqft-apartment","718 sq ft 2 BHK 2T NorthEast facing Apartment for sale at Rs 25.50 lacs in Shree Sai Baba Sai Gaon in Kaazi Sarai, Varanasi","25.5LEMI","Posted 3 months ago"
"https://www.makaan.com/varanasi/builder-project-in-susuwahi-11672126/2bhk-2t-1400-sqft-apartment","1400 sq ft 2 BHK 2T Apartment for sale at Rs 80.00 lacs in Project in Susuwahi, Varanasi","80LEMI","Posted 3 months ago"
"https://www.makaan.com/varanasi/builder-project-in-sankata-mochan-leprosy-9531101/3bhk-3t-1560-sqft-apartment","1560 sq ft 3 BHK 3T East facing Apartment for sale at Rs 1.03 crore in Project in Sankata Mochan Leprosy, Varanasi","1.03CrEMI","Posted 9 months ago"
"https://www.makaan.com/varanasi/builder-welcome-in-ashapur-chuaraha-9539591/3bhk-3t-1300-sqft-apartment","1300 sq ft 3 BHK 3T SouthEast facing Apartment for sale at Rs 39.00 lacs in Welcome 2th floor in Ashapur Chuaraha, Varanasi","39LEMINegotiable","Posted 8 months ago"
"https://www.makaan.com/varanasi/builder-project-in-nandan-nagar-9944762/2bhk-1t-722-sqft-apartment","722 sq ft 2 BHK 1T Apartment for sale at Rs 15.50 lacs in Project in Nandan Nagar, Varanasi","15.5LEMI","Posted 7 months ago"
"https://www.makaan.com/varanasi/vinayak-nirman-vihar-varuna-garden-in-khajuri-10010083/2bhk-2t-1300-sqft-apartment","1300 sq ft 2 BHK 2T null facing Apartment for sale at Rs 90.00 lacs in Vinayak Vihar Varuna Garden 0th floor in Khajuri, Varanasi","90LEMI","Posted 7 months ago"
"https://www.makaan.com/varanasi/builder-landmark-tower-3-in-bada-lalpur-11950915/3bhk-2t-1750-sqft-apartment","1750 sq ft 3 BHK 2T Apartment for sale at Rs 1.15 crore in Landmark Tower 3 in Bada Lalpur, Varanasi","1.15CrEMINegotiable","Posted 2 months ago"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Varanasi&cityId=60&templateId=MAKAAN_CITY_LISTING_BUY&page=5","properties in Varanasi :Makaan.com","NA","NA"
"https://www.makaan.com/varanasi/builder-project-in-majhbhitiyan-9514205/2bhk-2t-986-sqft-apartment","986 sq ft 2 BHK 2T East facing Apartment for sale at Rs 38.00 lacs in Project 2th floor in Majhbhitiyan, Varanasi","38LEMI","Posted 9 months ago"
"https://www.makaan.com/varanasi/builder-lyco-apartment-sri-nagar-colony-pahariya-varanasi-in-paharia-11788373/2bhk-2t-1075-sqft-apartment","1075 sq ft 2 BHK 2T East facing Apartment for sale at Rs 40.80 lacs in Lyco apartment sri nagar colony pahariya varanasi 3th floor in Paharia, Varanasi","40.8LEMINegotiable","Posted 3 months ago"
"https://www.makaan.com/varanasi/builder-project-in-paharia-11773476/2bhk-2t-1118-sqft-apartment","1118 sq ft 2 BHK 2T North facing Apartment for sale at Rs 42.50 lacs in Project 4th floor in Paharia, Varanasi","42.5LEMINegotiable","Posted 3 months ago"
"https://www.makaan.com/varanasi/shree-krishna-builders-rudra-banke-bihari-residency-in-pandeypur-11254127/3bhk-2t-1310-sqft-apartment","1310 sq ft 3 BHK 2T North facing Under Construction property Apartment for sale at Rs 57.64 lacs in Shree Krishna Rudra Banke Bihari Residency 8th floor in Pandeypur, Varanasi","57.64LEMINegotiable","Posted 5 months ago"
"https://www.makaan.com/varanasi/builder-project-in-sunderpur-6968788/2bhk-2t-1000-sqft-apartment","1000 sq ft 2 BHK 2T NorthEast facing Apartment for sale at Rs 42.00 lacs in Project 2th floor in Sunderpur, Varanasi","42LEMINegotiable","Posted a year ago"
"https://www.makaan.com/varanasi/builder-project-in-nagwa-10006872/3bhk-3t-1498-sqft-apartment","1498 sq ft 3 BHK 3T Apartment for sale at Rs 100.00 lacs in Project in Nagwa, Varanasi","1CrEMI","Posted 5 months ago"
"https://www.makaan.com/varanasi/a-s-construction-varanasi-shri-enclave-in-akatha-11545108/2bhk-1t-850-sqft-apartment","850 sq ft 2 BHK 1T Apartment for sale at Rs 48.00 lacs in A S Shri Enclave in Akatha, Varanasi","48LEMI","Posted 4 months ago"
"https://www.makaan.com/varanasi/builder-project-in-mahmoorganj-11248209/3bhk-2t-1300-sqft-apartment","1300 sq ft 3 BHK 2T NorthEast facing Apartment for sale at Rs 65.00 lacs in Project in Mahmoorganj, Varanasi","65LEMI","Posted 5 months ago"
"https://www.makaan.com/varanasi/rudra-real-estate-buddha-enclave-in-shivpur-7141864/2bhk-2t-935-sqft-apartment","935 sq ft 2 BHK 2T Apartment for sale at Rs 36.37 lacs in Rudra Real Estate Buddha Enclave 12th floor in Shivpur, Varanasi","36.37LEMI","Posted a year ago"
"https://www.makaan.com/varanasi/builder-project-in-lanka-9487113/3bhk-3t-1800-sqft-apartment","1800 sq ft 3 BHK 3T East facing Apartment for sale at Rs 1.06 crore in Project in Lanka, Varanasi","1.06CrEMI","Posted 9 months ago"
"https://www.makaan.com/varanasi/shree-sai-baba-infra-project-sai-gaon-in-kaazi-sarai-11682215/2bhk-2t-1000-sqft-apartment","1000 sq ft 2 BHK 2T Apartment for sale at Rs 33.11 lacs in Shree Sai Baba Sai Gaon in Kaazi Sarai, Varanasi","33.11LEMI","Posted 3 months ago"
"https://www.makaan.com/varanasi/builder-duplex-in-shivpur-9608528/5bhk-4t-1700-sqft-apartment","1700 sq ft 5 BHK 4T NorthEast facing Apartment for sale at Rs 50.00 lacs in Duplex 2th floor in Shivpur, Varanasi","50LEMINegotiable","Posted 9 months ago"
"https://www.makaan.com/varanasi/siddhivinayak-realtors-siddhi-vinayak-apartments-in-shivpur-9632782/4bhk-4t-1900-sqft-apartment","1900 sq ft 4 BHK 4T Apartment for sale at Rs 1.10 crore in Siddhivinayak Realtors Siddhi Vinayak Apartments in Shivpur, Varanasi","1.1CrEMI","Posted 9 months ago"
