Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,City,Carpet_area
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,2,1050,2952,3099600,Kanpur,950
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,2,1050,3142,3299100,Kanpur,950
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,4th of 12,NaN,NaN,NaN,NaN,December 2020,3,1953,6656,12999168,Kanpur,1850
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,2,1150,2521,2899150,Kanpur,1050
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,December 2020,3,1621,7094,11499374,Kanpur,0
Available,Not Available,Available,Available,Available,Not Available,Not Available,Available,Under Construction,2,3rd of 3,NaN,NaN,NaN,NaN,December 2019,2,481,3376,1623856,Kanpur,406
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,1st of 4,NaN,NaN,NaN,NaN,June 2020,3,1350,5407,7299450,Kanpur,1100
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,2,1000,2999,2999000,Kanpur,800
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,2,1050,3333,3499650,Kanpur,950
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,September 2020,3,1500,3400,5100000,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,September 2020,2,1050,3047,3199350,Kanpur,950
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,2,1050,3142,3299100,Kanpur,950
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,3,1500,4333,6499500,Kanpur,1400
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,7th of 7,NaN,NaN,NaN,NaN,December 2020,3,1500,8666,12999000,Kanpur,1400
Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,3,NaN,October 2020,3,1500,4800,7200000,Kanpur,1400
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,4th of 7,NaN,NaN,NaN,NaN,December 2020,3,1600,4375,7000000,Kanpur,1450
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,4th of 9,NaN,NaN,NaN,NaN,December 2020,3,1585,3785,5999225,Kanpur,1500
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,1st of 9,NaN,NaN,NaN,NaN,November 2020,3,1350,3111,4199850,Kanpur,1200
Available,Available,Available,Not Available,Not Available,Not Available,Available,Available,Ready to move,2,3rd of 5,NaN,NaN,NaN,NaN,December 2020,2,1250,3360,4200000,Kanpur,1100
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 4,NaN,NaN,NaN,NaN,October 2020,3,1550,4516,6999800,Kanpur,1400
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,1st of 9,NaN,NaN,NaN,NaN,June 2020,3,1323,3552,4699296,Kanpur,1100
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 6,NaN,NaN,NaN,NaN,October 2020,3,1450,4827,6999150,Kanpur,1350
Available,Available,Available,Available,Not Available,Not Available,Available,Available,Ready to move,2,4th of 8,NaN,NaN,NaN,NaN,September 2020,2,1100,4727,5199700,Kanpur,1000
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,3rd of 9,NaN,NaN,NaN,NaN,December 2020,2,1375,2909,3999875,Kanpur,1200
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,4th of 12,NaN,NaN,NaN,NaN,October 2020,3,1362,4772,6499464,Kanpur,1250
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,1st of 5,NaN,NaN,NaN,NaN,February 2020,2,800,4000,3200000,Kanpur,700
Available,Available,Available,Not Available,Available,Available,Available,Available,Ready to move,2,5th of 10,NaN,NaN,NaN,NaN,October 2020,3,1400,4642,6498800,Kanpur,1300
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,2nd of 4,NaN,NaN,NaN,NaN,June 2020,2,1000,3800,3800000,Kanpur,800
Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Ready to move,3,4th of 4,NaN,NaN,NaN,NaN,September 2020,3,1500,5666,8499000,Kanpur,1480
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,2,5th of 8,NaN,NaN,NaN,NaN,December 2019,3,1400,4642,6498800,Kanpur,1289
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,1st of 6,NaN,NaN,NaN,NaN,February 2020,3,1200,4583,5499600,Kanpur,1100
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,7th of 8,NaN,NaN,NaN,NaN,October 2020,3,1500,5666,8499000,Kanpur,1400
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,2,1050,2952,3099600,Kanpur,950
Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,3,NaN,October 2020,3,1500,5000,7500000,Kanpur,1450
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,2nd of 6,NaN,NaN,NaN,NaN,February 2020,2,1000,3800,3800000,Kanpur,900
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,2,1050,2761,2899050,Kanpur,950
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,3,1500,3933,5899500,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 6,NaN,NaN,NaN,NaN,February 2020,3,1300,3076,3998800,Kanpur,1200
Available,Available,Available,Not Available,Not Available,Not Available,Available,Available,Ready to move,3,2nd of 8,NaN,NaN,NaN,NaN,September 2020,4,1950,4102,7998900,Kanpur,1800
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 5,NaN,NaN,NaN,NaN,February 2020,2,1000,5500,5500000,Kanpur,900
Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Ready to move,2,Gr,NaN,NaN,NaN,NaN,October 2020,3,1500,3400,5100000,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,3,1500,5000,7500000,Kanpur,1400
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,1st of 12,NaN,NaN,NaN,NaN,February 2020,3,1550,4193,6499150,Kanpur,1450
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,3,1500,4800,7200000,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,2,1050,3142,3299100,Kanpur,950
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,2,1050,3142,3299100,Kanpur,950
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,2,1050,3333,3499650,Kanpur,950
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,3,NaN,October 2020,3,1500,3000,4500000,Kanpur,0
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,2nd of 14,NaN,NaN,NaN,NaN,September 2020,3,1577,3931,6199187,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,3,1500,4800,7200000,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,3,1500,3000,4500000,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,3,1500,3266,4899000,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,3,1500,3666,5499000,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,3,1500,3000,4500000,Kanpur,0
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,2,1000,3400,3400000,Kanpur,0
Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,3,1500,3400,5100000,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,3,1500,3000,4500000,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,3,1500,3666,5499000,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,3,1500,3000,4500000,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,2,1050,2952,3099600,Kanpur,950
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,2,1050,2761,2899050,Kanpur,950
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,3,1500,3000,4500000,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 6,NaN,NaN,NaN,NaN,February 2020,3,1450,3931,5699950,Kanpur,1350
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,2nd of 6,NaN,NaN,NaN,NaN,February 2020,2,900,5000,4500000,Kanpur,800
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,3rd of 8,NaN,NaN,NaN,NaN,October 2020,3,1330,6390,8498700,Kanpur,1200
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,5th of 12,NaN,NaN,NaN,NaN,December 2020,3,1362,4405,5999610,Kanpur,0
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,7th of 7,NaN,NaN,NaN,NaN,September 2020,3,1800,7222,12999600,Kanpur,1700
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,4th of 6,NaN,NaN,NaN,NaN,September 2020,3,1500,5666,8499000,Kanpur,1400
Available,Available,Available,Not Available,Available,Not Available,Available,Not Available,Ready to move,2,3rd of 8,NaN,NaN,NaN,NaN,October 2020,3,1500,6666,9999000,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,1st of 8,NaN,NaN,NaN,NaN,October 2020,3,1450,6896,9999200,Kanpur,1400
Available,Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Ready to move,3,2nd of 4,NaN,NaN,NaN,NaN,September 2020,3,1500,5666,8499000,Kanpur,1440
Available,Available,Available,Available,Not Available,Available,Available,Available,Ready to move,2,5th of 6,NaN,NaN,NaN,NaN,September 2020,3,1660,7228,11998480,Kanpur,1500
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,4th of 9,NaN,NaN,NaN,NaN,December 2020,4,2108,3083,6498964,Kanpur,0
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,2,7th of 8,NaN,NaN,NaN,NaN,September 2020,2,950,6842,6499900,Kanpur,800
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,3rd of 11,NaN,NaN,NaN,NaN,September 2020,3,1550,8064,12499200,Kanpur,1400
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,9th of 14,NaN,NaN,NaN,NaN,December 2020,2,1220,4098,4999560,Kanpur,1100
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,8th of 14,NaN,NaN,NaN,NaN,December 2020,2,1220,4098,4999560,Kanpur,1100
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,1st of 12,NaN,NaN,NaN,NaN,November 2020,3,1362,4919,6699678,Kanpur,1300
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 4,NaN,NaN,NaN,NaN,September 2020,2,1100,4545,4999500,Kanpur,1000
Available,Available,Available,Not Available,Available,Available,Available,Available,Ready to move,2,2nd of 8,NaN,NaN,NaN,NaN,September 2020,3,1330,6390,8498700,Kanpur,1200
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,5th of 8,NaN,NaN,NaN,NaN,March 2020,3,1650,5333,8799450,Kanpur,1550
Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,2,7th of 7,NaN,NaN,NaN,NaN,March 2020,3,1650,8181,13498650,Kanpur,1500
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,3rd of 6,NaN,NaN,NaN,NaN,February 2020,3,1600,4687,7499200,Kanpur,1500
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,3rd of 3,NaN,NaN,NaN,NaN,February 2020,2,1100,3181,3499100,Kanpur,1000
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,3rd of 8,NaN,NaN,NaN,NaN,February 2020,3,2000,5750,11500000,Kanpur,1900
Available,Available,Available,Available,Not Available,Not Available,Available,Available,Ready to move,3,2nd of 6,NaN,NaN,NaN,NaN,March 2020,3,1980,4040,7999200,Kanpur,1700
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Ready to move,3,NaN,NaN,NaN,3,NaN,December 2020,3,2000,4450,8900000,Kanpur,1800
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,4th of 8,NaN,NaN,NaN,NaN,March 2020,3,1750,5142,8998500,Kanpur,1500
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 6,NaN,NaN,NaN,NaN,February 2020,3,1300,3153,4098900,Kanpur,1200
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,2,1100,2636,2899600,Kanpur,1000
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,3,1500,4600,6900000,Kanpur,1300
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,2,1000,3800,3800000,Kanpur,900
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,2,1000,3400,3400000,Kanpur,900
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,3,1500,3000,4500000,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,3,1500,4600,6900000,Kanpur,1300
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,2,1000,3800,3800000,Kanpur,900
Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 5,NaN,NaN,NaN,NaN,February 2020,2,1000,4200,4200000,Kanpur,900
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,3,1500,3000,4500000,Kanpur,1280
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,3,1500,3266,4899000,Kanpur,0
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,3,1500,3933,5899500,Kanpur,1400
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,2,1100,3000,3300000,Kanpur,960
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,2,1100,2909,3199900,Kanpur,1000
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,3,1500,3000,4500000,Kanpur,0
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,3,1500,3933,5899500,Kanpur,0
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,2,1100,2636,2899600,Kanpur,1000
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 4,NaN,NaN,NaN,NaN,December 2019,3,1450,3931,5699950,Kanpur,1350
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,2,1000,3400,3400000,Kanpur,0
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,2,1100,2636,2899600,Kanpur,1000
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,2,1000,3400,3400000,Kanpur,900
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 5,NaN,NaN,NaN,NaN,February 2020,3,1350,4814,6498900,Kanpur,1250
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,2,1000,3400,3400000,Kanpur,900
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Ready to move,3,NaN,NaN,NaN,3,NaN,December 2020,3,1800,4944,8899200,Kanpur,1700
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,4th of 8,NaN,NaN,NaN,NaN,March 2020,3,1800,6388,11498400,Kanpur,1700
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,3,1500,3000,4500000,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,3,1500,4600,6900000,Kanpur,1300
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,3,1500,3933,5899500,Kanpur,0
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,3,NaN,October 2020,3,1500,3600,5400000,Kanpur,0
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,3,1500,3000,4500000,Kanpur,1280
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,3,1500,3933,5899500,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,2,1000,3400,3400000,Kanpur,0
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,3,1500,3933,5899500,Kanpur,0
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,2,1050,3333,3499650,Kanpur,950
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,1st of 12,NaN,NaN,NaN,NaN,February 2020,3,1500,4333,6499500,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,2,1100,2909,3199900,Kanpur,1000
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,2,1250,2560,3200000,Kanpur,1150
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,3,1500,3400,5100000,Kanpur,1400
