Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,New,NaN,NaN,NaN,October 2020,1,750,7200,5400000,750,Goa
Available,Available,Available,Not Available,Available,Available,Available,Available,Ready to move,3,3rd of 8,NaN,NaN,NaN,NaN,April 2020,3,1969,5840,11498960,1969,Goa
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,3,NaN,New,NaN,NaN,NaN,March 2020,3,2835,5467,15498945,2835,Goa
Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Available,Ready to move,2,2nd of 4,NaN,NaN,NaN,NaN,February 2020,2,2691,1406,3783546,2691,Goa
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,7th of 8,NaN,NaN,NaN,NaN,February 2020,2,1027,7385,7584395,1027,Goa
Not Available,Not Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,2,Gr of 2,NaN,NaN,NaN,NaN,April 2020,2,1001,4904,4908904,1001,Goa
Not Available,Available,Available,Not Available,Available,Not Available,Available,Available,Ready to move,3,2nd of 3,NaN,NaN,NaN,NaN,December 2020,3,1431,5590,7999290,1431,Goa
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Under Construction,2,2nd of 3,NaN,NaN,NaN,NaN,April 2020,2,1119,4915,5499885,1119,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,September 2020,2,1377,12084,16639668,1377,Goa
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,October 2020,3,1238,5411,6698818,1238,Goa
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,4th of 8,NaN,NaN,NaN,NaN,December 2019,2,808,10519,8499352,808,Goa
Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,September 2020,2,1561,3808,5944288,1561,Goa
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,6th of 8,NaN,NaN,NaN,NaN,December 2019,2,808,10519,8499352,808,Goa
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,6th of 8,NaN,NaN,NaN,NaN,December 2019,2,808,10519,8499352,808,Goa
Not Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,4th of 7,NaN,NaN,NaN,NaN,February 2020,2,1130,3805,4299650,1130,Goa
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Under Construction,1,2nd of 4,NaN,NaN,NaN,NaN,February 2020,1,660,12875,8497500,660,Goa
Not Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,1st of 4,NaN,NaN,NaN,NaN,May 2020,2,1173,5942,6969966,1173,Goa
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,8th of 8,NaN,NaN,NaN,NaN,December 2019,2,692,10838,7499896,692,Goa
Available,Available,Available,Available,Available,Available,Not Available,Available,Ready to move,2,NaN,NaN,NaN,2,NaN,November 2020,2,1066,6566,6999356,1066,Goa
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Under Construction,1,2nd of 4,NaN,NaN,NaN,NaN,February 2020,1,560,15000,8400000,560,Goa
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,1,2nd of 3,NaN,NaN,NaN,NaN,February 2020,1,780,12692,9899760,780,Goa
Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Available,Under Construction,3,4th of 5,NaN,NaN,NaN,NaN,June 2020,3,1830,4644,8498520,1830,Goa
