Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,October 2020,3,1550,8387,12999850,1550,Kolkata
Available,Available,Not Available,Available,Available,Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,February 2020,2,771,2900,2235900,771,Kolkata
Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,NaN,NaN,Resale,NaN,NaN,No,October 2020,2,900,3277,2949300,900,Kolkata
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,October 2020,1,400,5000,2000000,400,Kolkata
Available,Available,Available,Not Available,Available,Not Available,Available,Not Available,Under Construction,3,NaN,Resale,NaN,NaN,NaN,October 2020,3,1851,4321,7998171,1851,Kolkata
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,October 2020,3,1000,15000,15000000,1000,Kolkata
Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,October 2020,2,540,3950,2133000,540,Kolkata
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,NaN,NaN,Resale,NaN,NaN,No,October 2020,2,676,3254,2199704,676,Kolkata
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,November 2020,1,667,3298,2199766,667,Kolkata
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,October 2020,2,850,4117,3499450,850,Kolkata
Available,Available,Available,Available,Available,Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,March 2020,1,403,2729,1099787,403,Kolkata
Not Available,Available,Not Available,Available,Available,Available,Available,Not Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,October 2020,2,850,5294,4499900,850,Kolkata
