Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,NaN,"2 rooms(study room, pooja room)",NaN,NaN,December 2020,2,1200,5000,6000000,1200,Kochin
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,15th of 28,NaN,NaN,NaN,NaN,December 2019,3,2483,7893,19598319,2483,Kochin
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,2nd of 15,NaN,NaN,NaN,NaN,August 2020,3,1790,6424,11498960,1790,Kochin
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,3,6th of 12,NaN,NaN,NaN,NaN,December 2019,3,1294,4250,5499500,1294,Kochin
Available,Not Available,Available,Available,Available,Not Available,Not Available,Available,Ready to move,3,14th of 18,NaN,NaN,NaN,NaN,December 2019,3,1600,6875,11000000,1600,Kochin
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,3,1st of 14,NaN,NaN,NaN,NaN,August 2020,3,1699,3766,6398434,1699,Kochin
Available,Available,Not Available,Available,Available,Not Available,Available,Available,Ready to move,3,16th of 20,NaN,NaN,NaN,NaN,December 2019,4,2670,6741,17998470,2670,Kochin
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,5,15th of 22,NaN,NaN,NaN,NaN,December 2019,4,3014,7299,21999186,3014,Kochin
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,2,6th of 7,NaN,NaN,NaN,NaN,August 2020,2,1113,3234,3599442,1113,Kochin
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,4,2nd of 25,NaN,NaN,NaN,NaN,December 2019,3,1603,6238,9999514,1603,Kochin
Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Ready to move,4,4th of 15,NaN,NaN,NaN,NaN,December 2019,3,1656,7850,12999600,1656,Kochin
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,4,5th of 10,NaN,NaN,NaN,NaN,December 2019,3,1400,5000,7000000,1400,Kochin
Available,Not Available,Available,Available,Available,Available,Not Available,Available,Ready to move,3,10th of 15,NaN,NaN,NaN,NaN,December 2019,3,1560,3525,5499000,1560,Kochin
Available,Available,Available,Available,Available,Available,Not Available,Available,Ready to move,3,9th of 12,NaN,NaN,NaN,NaN,February 2020,3,1780,5056,8999680,1780,Kochin
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,3,9th of 21,NaN,NaN,NaN,NaN,February 2020,3,1950,8717,16998150,1950,Kochin
Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Ready to move,4,13th of 13,NaN,NaN,NaN,NaN,February 2020,3,1830,6830,12498900,1830,Kochin
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,14th of 24,NaN,NaN,NaN,NaN,August 2020,3,1588,6171,9799548,1588,Kochin
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,7th,NaN,NaN,NaN,NaN,December 2019,3,1500,4333,6499500,1500,Kochin
Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Ready to move,3,1st of 19,NaN,NaN,NaN,NaN,December 2019,3,1500,4666,6999000,1500,Kochin
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Ready to move,1,3rd of 10,NaN,NaN,NaN,NaN,February 2020,1,605,4958,2999590,605,Kochin
Not Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,8th of 10,NaN,NaN,NaN,NaN,December 2019,2,1368,3654,4998672,1368,Kochin
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,3,11th of 12,NaN,NaN,NaN,NaN,December 2019,3,1800,6111,10999800,1800,Kochin
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Ready to move,3,6th of 11,NaN,NaN,NaN,NaN,December 2020,3,1635,5504,8999040,1635,Kochin
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,3rd of 10,NaN,NaN,NaN,NaN,December 2019,2,1200,3750,4500000,1200,Kochin
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,3rd of 3,NaN,NaN,NaN,NaN,December 2019,2,1296,4498,5829408,1296,Kochin
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,4th of 5,NaN,NaN,NaN,NaN,December 2019,2,1050,5238,5499900,1050,Kochin
Available,Available,Available,Not Available,Available,Not Available,Available,Available,Ready to move,1,5th of 12,NaN,NaN,NaN,NaN,August 2020,1,863,4055,3499465,863,Kochin
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,9th of 15,NaN,NaN,NaN,NaN,February 2020,3,2112,8522,17998464,2112,Kochin
Not Available,Available,Not Available,Available,Available,Available,Available,Available,Ready to move,3,12th of 15,NaN,NaN,NaN,NaN,February 2020,3,1887,3603,6798861,1887,Kochin
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,4,7th of 23,NaN,NaN,NaN,NaN,August 2020,3,1671,4787,7999077,1671,Kochin
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,3rd of 12,NaN,NaN,NaN,NaN,December 2019,3,1750,5428,9499000,1750,Kochin
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,4,5th of 11,NaN,NaN,NaN,NaN,August 2020,3,2090,5980,12498200,2090,Kochin
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,5th of 10,NaN,NaN,NaN,NaN,December 2019,3,2601,8458,21999258,2601,Kochin
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,5th of 13,NaN,NaN,NaN,NaN,February 2020,2,1182,7191,8499762,1182,Kochin
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 3,NaN,NaN,NaN,NaN,March 2020,2,1100,3181,3499100,1100,Kochin
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 7,NaN,NaN,NaN,NaN,December 2019,2,1245,4417,5499165,1245,Kochin
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,4th of 4,NaN,NaN,NaN,NaN,March 2020,2,1311,5186,6798846,1311,Kochin
Available,Not Available,Available,Available,Not Available,Available,Not Available,Available,Ready to move,3,23rd of 25,NaN,NaN,NaN,NaN,December 2019,3,1650,3939,6499350,1650,Kochin
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,4th of 7,NaN,NaN,NaN,NaN,December 2019,3,1490,4362,6499380,1490,Kochin
Not Available,Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Ready to move,3,7th of 13,NaN,NaN,NaN,NaN,April 2020,3,2000,300,600000,2000,Kochin
Available,Not Available,Available,Available,Available,Available,Not Available,Available,Ready to move,4,2nd of 15,NaN,NaN,NaN,NaN,December 2019,3,2014,6206,12498884,2014,Kochin
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 9,NaN,NaN,NaN,NaN,December 2019,2,1310,3816,4998960,1310,Kochin
Not Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,6th of 14,NaN,NaN,NaN,NaN,March 2020,3,1288,5046,6499248,1288,Kochin
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,6th of 8,NaN,NaN,NaN,NaN,February 2020,3,2000,3500,7000000,2000,Kochin
Not Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,3,6th of 19,NaN,NaN,NaN,NaN,December 2019,3,1605,4548,7299540,1605,Kochin
Available,Not Available,Available,Not Available,Available,Not Available,Available,Available,Ready to move,NaN,8th of 12,New,NaN,NaN,NaN,December 2019,3,2201,5224,11498024,2201,Kochin
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 7,NaN,NaN,NaN,NaN,December 2019,2,1200,3916,4699200,1200,Kochin
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,4th of 4,NaN,NaN,NaN,NaN,March 2020,2,1276,5172,6599472,1276,Kochin
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,4th of 4,NaN,NaN,NaN,NaN,March 2020,2,1124,5249,5899876,1124,Kochin
Available,Available,Available,Available,Not Available,Available,Available,Available,Ready to move,3,12th of 15,NaN,NaN,NaN,NaN,December 2019,3,1700,5058,8598600,1700,Kochin
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,3,9th of 12,NaN,NaN,NaN,NaN,February 2020,3,1950,7692,14999400,1950,Kochin
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,1,NaN,March 2020,2,1200,6166,7399200,1200,Kochin
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,November 2020,3,1400,3928,5499200,1400,Kochin
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,November 2020,3,1400,3928,5499200,1400,Kochin
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,1000,4000,4000000,1000,Kochin
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,1000,4000,4000000,1000,Kochin
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,2,4th of 4,NaN,NaN,NaN,NaN,October 2020,3,1200,5833,6999600,1200,Kochin
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,3,3rd of 5,NaN,NaN,NaN,NaN,October 2020,3,1400,4642,6498800,1400,Kochin
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,3,Gr of 13,NaN,NaN,NaN,NaN,October 2020,3,1358,5522,7498876,1358,Kochin
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,New,NaN,NaN,NaN,March 2020,3,1140,3508,3999120,1140,Kochin
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,3,10th of 14,NaN,NaN,NaN,NaN,October 2020,3,1358,5081,6899998,1358,Kochin
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,4,NaN,New,NaN,NaN,NaN,March 2020,4,3824,8500,32504000,3824,Kochin
Not Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,2,1st of 6,NaN,NaN,NaN,NaN,December 2019,2,1311,5186,6798846,1311,Kochin
Available,Not Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,3,2nd of 3,NaN,NaN,NaN,NaN,December 2019,3,1200,6000,7200000,1200,Kochin
Available,Available,Available,Available,Available,Available,Not Available,Available,Ready to move,2,14th of 17,NaN,NaN,NaN,NaN,December 2019,2,1055,4265,4499575,1055,Kochin
Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Not Available,Ready to move,4,12th of 15,NaN,NaN,NaN,NaN,December 2019,3,1700,4705,7998500,1700,Kochin
