Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,3rd of 6,NaN,NaN,NaN,NaN,March 2020,3,1348,2596,3499408,1348,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,6th of 6,NaN,NaN,NaN,NaN,December 2020,3,1348,2596,3499408,1348,Raipur
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,3,6th of 6,NaN,NaN,NaN,NaN,December 2020,3,1348,2596,3499408,1348,Raipur
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,3rd of 8,NaN,NaN,NaN,NaN,October 2020,2,635,2362,1499870,635,Raipur
Available,Available,Available,Available,Available,Available,Available,Not Available,Under Construction,2,2nd of 8,NaN,NaN,NaN,NaN,April 2020,2,1050,2380,2499000,1050,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,2nd of 7,NaN,NaN,NaN,NaN,April 2020,3,1268,1813,2298884,1268,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,3rd of 7,NaN,NaN,NaN,NaN,May 2020,2,635,2362,1499870,635,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,4th of 10,NaN,NaN,NaN,NaN,March 2020,2,1525,2524,3849100,1525,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,4th of 8,NaN,NaN,NaN,NaN,March 2020,2,635,2362,1499870,635,Raipur
Not Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,2,1st of 8,NaN,NaN,NaN,NaN,May 2020,2,1055,2368,2498240,1055,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,1st of 6,NaN,NaN,NaN,NaN,December 2019,3,1630,2250,3667500,1630,Raipur
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,3,1st of 6,NaN,NaN,NaN,NaN,February 2020,3,1348,2596,3499408,1348,Raipur
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Under Construction,2,1st of 8,NaN,NaN,NaN,NaN,June 2020,2,635,2359,1497965,635,Raipur
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,3,3rd of 6,NaN,NaN,NaN,NaN,December 2019,3,1365,2783,3798795,1365,Raipur
Available,Available,Not Available,Available,Available,Available,Available,Available,Under Construction,2,1st of 7,NaN,NaN,NaN,NaN,March 2020,2,1073,2329,2499017,1073,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 8,NaN,NaN,NaN,NaN,February 2020,2,635,2362,1499870,635,Raipur
Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,2,2nd of 7,NaN,NaN,NaN,NaN,March 2020,2,995,2613,2599935,995,Raipur
Available,Not Available,Available,Available,Not Available,Not Available,Available,Not Available,Ready to move,3,NaN,NaN,1 rooms(study room),NaN,NaN,March 2020,3,1700,2250,3825000,1700,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,5th of 6,NaN,NaN,NaN,NaN,December 2019,2,1008,2579,2599632,1008,Raipur
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,2,3rd of 3,NaN,NaN,NaN,NaN,March 2020,2,838,2040,1709520,838,Raipur
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,3,1st of 6,NaN,NaN,NaN,NaN,April 2020,3,1670,2251,3759170,1670,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,1st of 10,NaN,NaN,NaN,NaN,December 2019,2,710,3000,2130000,710,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,4th of 6,NaN,NaN,NaN,NaN,March 2020,3,1348,2596,3499408,1348,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,3rd of 6,NaN,NaN,NaN,NaN,May 2020,3,1348,2595,3498060,1348,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 12,NaN,NaN,NaN,NaN,December 2020,2,710,3028,2149880,710,Raipur
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,3,1st of 6,NaN,NaN,NaN,NaN,April 2020,3,1350,2592,3499200,1350,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,1st of 8,NaN,NaN,NaN,NaN,October 2020,2,635,2360,1498600,635,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,3rd of 7,NaN,NaN,NaN,NaN,February 2020,3,1630,2250,3667500,1630,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,2nd of 6,NaN,NaN,NaN,NaN,December 2019,3,1348,2596,3499408,1348,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,1st of 6,NaN,NaN,NaN,NaN,February 2020,3,1348,2596,3499408,1348,Raipur
Available,Available,Not Available,Not Available,Available,Available,Available,Not Available,Ready to move,2,3rd of 12,NaN,NaN,NaN,NaN,December 2019,2,750,2800,2100000,750,Raipur
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,3,4th of 6,NaN,NaN,NaN,NaN,March 2020,3,1348,2596,3499408,1348,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,3rd of 8,NaN,NaN,NaN,NaN,December 2019,3,1630,2249,3665870,1630,Raipur
Available,Not Available,Available,Available,Available,Available,Available,Available,Under Construction,2,6th of 8,NaN,NaN,NaN,NaN,April 2020,2,635,2362,1499870,635,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,2nd of 7,NaN,NaN,NaN,NaN,March 2020,3,1348,2596,3499408,1348,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 8,NaN,NaN,NaN,NaN,April 2020,2,635,2360,1498600,635,Raipur
Not Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,6th of 6,NaN,NaN,NaN,NaN,May 2020,2,1150,2350,2702500,1150,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 6,NaN,NaN,NaN,NaN,March 2020,3,1348,2595,3498060,1348,Raipur
Not Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,5th of 6,NaN,NaN,NaN,NaN,October 2020,2,1150,2350,2702500,1150,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,6th of 12,NaN,NaN,NaN,NaN,February 2020,2,710,3000,2130000,710,Raipur
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,3,4th of 8,NaN,NaN,NaN,NaN,February 2020,3,1680,2232,3749760,1680,Raipur
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,1st of 4,NaN,NaN,NaN,NaN,September 2020,2,1310,3358,4398980,1310,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,1st of 6,NaN,NaN,NaN,NaN,February 2020,3,1630,2250,3667500,1630,Raipur
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,3,1st of 6,NaN,NaN,NaN,NaN,December 2019,3,1348,2595,3498060,1348,Raipur
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,3rd of 6,NaN,NaN,NaN,NaN,February 2020,2,1008,2578,2598624,1008,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,6th of 6,NaN,NaN,NaN,NaN,May 2020,3,1348,2595,3498060,1348,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,5th of 8,NaN,NaN,NaN,NaN,March 2020,2,635,2362,1499870,635,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,4,2nd of 8,NaN,NaN,NaN,NaN,December 2020,4,2184,2500,5460000,2184,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,6th of 6,NaN,NaN,NaN,NaN,December 2020,3,1348,2595,3498060,1348,Raipur
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Under Construction,2,2nd of 4,NaN,NaN,NaN,NaN,April 2020,2,1041,2401,2499441,1041,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,2nd of 6,NaN,NaN,NaN,NaN,April 2020,3,1525,2885,4399625,1525,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,5th of 6,NaN,NaN,NaN,NaN,February 2020,2,1175,2978,3499150,1175,Raipur
Available,Not Available,Not Available,Available,Available,Not Available,Available,Not Available,Under Construction,2,2nd of 6,NaN,NaN,NaN,NaN,February 2020,2,1074,2327,2499198,1074,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 8,NaN,NaN,NaN,NaN,March 2020,2,1008,2578,2598624,1008,Raipur
Not Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,2,6th of 6,NaN,NaN,NaN,NaN,May 2020,2,1150,2350,2702500,1150,Raipur
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,3,3rd of 6,NaN,NaN,NaN,NaN,March 2020,3,1630,2250,3667500,1630,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,6th of 6,NaN,NaN,NaN,NaN,May 2020,2,950,2210,2099500,950,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 10,NaN,NaN,NaN,NaN,March 2020,2,910,3076,2799160,910,Raipur
