Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Ready to move,2,6th of 7,NaN,NaN,NaN,NaN,December 2019,3,1225,5306,6499850,1225,Nashik
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,NaN,NaN,NaN,2,NaN,April 2020,3,1229,4312,5299448,1229,Nashik
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,3rd of 4,NaN,NaN,NaN,NaN,November 2020,2,980,3571,3499580,980,Nashik
Available,Available,Not Available,Available,Available,Not Available,Available,Available,Under Construction,2,NaN,NaN,NaN,3,NaN,March 2020,2,1288,4949,6374312,1288,Nashik
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,1st of 6,NaN,NaN,NaN,NaN,April 2020,3,1460,5623,8209580,1460,Nashik
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,6th of 7,NaN,NaN,NaN,NaN,December 2019,2,955,3350,3199250,955,Nashik
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,2nd of 3,NaN,NaN,NaN,NaN,December 2020,1,1200,4166,4999200,1200,Nashik
Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,4th of 4,NaN,NaN,NaN,NaN,December 2020,2,845,3905,3299725,845,Nashik
Not Available,Not Available,Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,1,3rd of 3,NaN,NaN,NaN,NaN,February 2020,1,555,2477,1374735,555,Nashik
Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,4th of 4,NaN,NaN,NaN,NaN,December 2020,2,1000,4900,4900000,1000,Nashik
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,4th of 4,NaN,NaN,NaN,NaN,February 2020,2,1900,4500,8550000,1900,Nashik
Available,Not Available,Available,Available,Not Available,Available,Available,Available,Ready to move,2,7th of 12,NaN,NaN,NaN,NaN,December 2020,2,1050,4457,4679850,1050,Nashik
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,11th of 12,NaN,NaN,NaN,NaN,December 2020,3,1171,4099,4799929,1171,Nashik
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,5th of 7,NaN,NaN,NaN,NaN,February 2020,2,1080,3900,4212000,1080,Nashik
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,4,1st of 13,NaN,NaN,NaN,NaN,April 2020,4,2100,3374,7085400,2100,Nashik
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,2nd of 2,NaN,NaN,NaN,NaN,November 2020,1,630,2857,1799910,630,Nashik
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,4th of 7,NaN,NaN,NaN,NaN,February 2020,2,980,3775,3699500,980,Nashik
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,1,2nd of 3,NaN,NaN,NaN,NaN,November 2020,2,950,2947,2799650,950,Nashik
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,6th of 7,NaN,NaN,NaN,NaN,December 2019,1,695,3561,2474895,695,Nashik
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,3,1650,4545,7499250,1650,Nashik
