Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Available,Available,Available,Available,Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2019,3,843,3202,2699286,843,Jaipur
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,February 2020,2,948,2478,2349144,948,Jaipur
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,March 2020,2,860,1744,1499840,860,Jaipur
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,September 2020,2,750,1247,935250,750,Jaipur
Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,November 2020,2,464,4403,2042992,464,Jaipur
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,August 2020,3,2399,2459,5899141,2399,Jaipur
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,New,NaN,NaN,NaN,December 2020,3,1240,3387,4199880,1240,Jaipur
Available,Available,Available,Not Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,2,1225,3673,4499425,1225,Jaipur
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,October 2020,2,948,2666,2527368,948,Jaipur
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,October 2020,2,916,2024,1853984,916,Jaipur
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,April 2020,3,1250,2800,3500000,1250,Jaipur
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,August 2020,3,2399,2459,5899141,2399,Jaipur
Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Under Construction,3,NaN,New,NaN,NaN,NaN,December 2019,3,1286,3199,4113914,1286,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,3,NaN,New,NaN,NaN,NaN,September 2020,3,1270,2893,3674110,1270,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,2,NaN,New,NaN,NaN,NaN,November 2020,2,618,3072,1898496,618,Jaipur
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,New,NaN,NaN,NaN,October 2020,3,1560,5448,8498880,1560,Jaipur
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,December 2019,2,900,2666,2399400,900,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,September 2020,3,1035,4772,4939020,1035,Jaipur
Available,Available,Available,Available,Available,Available,Not Available,Available,Under Construction,2,NaN,New,NaN,NaN,NaN,November 2020,3,843,3202,2699286,843,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,3,NaN,New,NaN,NaN,NaN,November 2020,3,3256,2500,8140000,3256,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,2,NaN,New,NaN,NaN,NaN,November 2020,3,871,3777,3289767,871,Jaipur
Available,Available,Available,Available,Available,Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2019,2,612,3594,2199528,612,Jaipur
Available,Available,Available,Not Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,4,2040,3676,7499040,2040,Jaipur
Available,Available,Available,Available,Available,Available,Not Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,November 2020,2,785,3600,2826000,785,Jaipur
Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,November 2020,1,253,5098,1289794,253,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,December 2020,2,950,3157,2999150,950,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,November 2020,2,840,3809,3199560,840,Jaipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,September 2020,2,840,4523,3799320,840,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,September 2020,3,1519,2851,4330669,1519,Jaipur
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,September 2020,2,750,1247,935250,750,Jaipur
Available,Available,Available,Not Available,Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,3,1625,3692,5999500,1625,Jaipur
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,October 2020,2,920,2016,1854720,920,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,October 2020,3,1000,2475,2475000,1000,Jaipur
Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,November 2020,1,242,5289,1279938,242,Jaipur
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,February 2020,2,948,2700,2559600,948,Jaipur
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,October 2020,2,970,2666,2586020,970,Jaipur
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,August 2020,3,2399,2459,5899141,2399,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Under Construction,3,NaN,New,NaN,NaN,NaN,December 2020,3,1350,2962,3998700,1350,Jaipur
Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,July 2020,3,860,1687,1450820,860,Jaipur
Not Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,December 2020,2,550,1680,924000,550,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,2,NaN,New,NaN,NaN,NaN,November 2020,3,820,3169,2598580,820,Jaipur
Available,Not Available,Available,Not Available,Available,Not Available,Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,2,760,3421,2599960,760,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,October 2020,3,1000,2690,2690000,1000,Jaipur
Available,Not Available,Available,Available,Available,Not Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,September 2020,3,1774,3750,6652500,1774,Jaipur
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,December 2019,2,1002,2794,2799588,1002,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,1,NaN,New,NaN,NaN,NaN,November 2020,1,445,2696,1199720,445,Jaipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,November 2020,2,973,3083,2999759,973,Jaipur
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,NaN,New,NaN,NaN,NaN,November 2020,2,984,3100,3050400,984,Jaipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,November 2020,2,1125,3800,4275000,1125,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,November 2020,2,840,3809,3199560,840,Jaipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,November 2020,2,1310,4000,5240000,1310,Jaipur
Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,November 2020,2,1275,2500,3187500,1275,Jaipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,November 2020,3,1545,3100,4789500,1545,Jaipur
Available,Not Available,Available,Not Available,Available,Not Available,Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,1006,3280,3299680,1006,Jaipur
Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,1,NaN,New,NaN,NaN,NaN,December 2020,1,503,2683,1349549,503,Jaipur
Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Under Construction,3,NaN,New,NaN,NaN,NaN,December 2019,3,1267,3196,4049332,1267,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,November 2020,2,1059,3600,3812400,1059,Jaipur
Available,Available,Available,Available,Available,Available,Not Available,Available,Under Construction,2,NaN,New,NaN,NaN,NaN,November 2020,2,612,3594,2199528,612,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,3,NaN,New,NaN,NaN,NaN,November 2020,3,2101,2350,4937350,2101,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,1,NaN,New,NaN,NaN,NaN,November 2020,1,409,2995,1224955,409,Jaipur
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,NaN,New,NaN,NaN,NaN,November 2020,3,1377,3100,4268700,1377,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,September 2020,3,1050,2761,2899050,1050,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,2,NaN,New,NaN,NaN,NaN,September 2020,3,1280,2851,3649280,1280,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,2,NaN,New,NaN,NaN,NaN,November 2020,2,596,2996,1785616,596,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,2,NaN,New,NaN,NaN,NaN,September 2020,2,1075,2874,3089550,1075,Jaipur
Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,December 2019,2,1001,3196,3199196,1001,Jaipur
Available,Not Available,Available,Not Available,Available,Not Available,Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,1006,3280,3299680,1006,Jaipur
Available,Not Available,Available,Not Available,Available,Not Available,Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,2,760,3421,2599960,760,Jaipur
Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Under Construction,3,NaN,New,NaN,NaN,NaN,December 2019,3,1310,3206,4199860,1310,Jaipur
Available,Not Available,Available,Not Available,Available,Not Available,Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,1006,3280,3299680,1006,Jaipur
Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Under Construction,3,NaN,New,NaN,NaN,NaN,December 2019,3,1239,3200,3964800,1239,Jaipur
Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Under Construction,3,NaN,New,NaN,NaN,NaN,December 2019,3,1252,3194,3998888,1252,Jaipur
Available,Not Available,Available,Not Available,Available,Not Available,Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,2,760,3421,2599960,760,Jaipur
Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,December 2019,2,999,3203,3199797,999,Jaipur
Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Under Construction,3,NaN,New,NaN,NaN,NaN,December 2019,3,1426,3197,4558922,1426,Jaipur
Available,Available,Available,Available,Available,Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2019,1,405,3456,1399680,405,Jaipur
Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2019,3,1450,3200,4640000,1450,Jaipur
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,February 2020,2,900,2500,2250000,900,Jaipur
Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Under Construction,3,NaN,New,NaN,NaN,NaN,December 2019,3,1344,3199,4299456,1344,Jaipur
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,December 2019,2,900,2500,2250000,900,Jaipur
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,February 2020,2,948,2478,2349144,948,Jaipur
Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Under Construction,3,NaN,New,NaN,NaN,NaN,December 2019,3,1623,3203,5198469,1623,Jaipur
Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Under Construction,3,NaN,New,NaN,NaN,NaN,December 2019,3,1339,3196,4279444,1339,Jaipur
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,December 2019,2,900,2500,2250000,900,Jaipur
