Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Not Available,Available,Not Available,Available,Available,Available,Available,Ready to move,NaN,Gr,New,NaN,NaN,NaN,May 2020,3,1640,3699,6066360,1640,Chennai
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,March 2020,3,1306,8805,11499330,1306,Chennai
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,804,3950,3175800,804,Chennai
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,1408,5149,7249792,1408,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,NaN,NaN,Resale,NaN,NaN,No,October 2020,2,836,4784,3999424,836,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,October 2020,2,934,3533,3299822,934,Chennai
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,1480,6072,8986560,1480,Chennai
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,November 2020,1,609,9600,5846400,609,Chennai
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,April 2020,3,1604,10286,16498744,1604,Chennai
Not Available,Available,Available,Available,Available,Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,837,5500,4603500,837,Chennai
Available,Available,Not Available,Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,November 2020,3,1507,6699,10095393,1507,Chennai
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,November 2020,3,1345,7807,10500415,1345,Chennai
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,October 2020,2,1107,5239,5799573,1107,Chennai
Available,Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1385,8303,11499655,1385,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,February 2020,2,713,3136,2235968,713,Chennai
Available,Not Available,Available,Available,Available,Not Available,Not Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,November 2020,3,3700,5406,20002200,3700,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,3,1540,7792,11999680,1540,Chennai
Available,Not Available,Not Available,Available,Available,Available,Not Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,October 2020,2,1175,6495,7631625,1175,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,November 2020,2,652,5418,3532536,652,Chennai
Available,Available,Not Available,Available,Available,Available,Not Available,Not Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,November 2020,3,1550,11290,17499500,1550,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,November 2020,2,1306,7274,9499844,1306,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,April 2020,2,805,6459,5199495,805,Chennai
Not Available,Not Available,Available,Not Available,Available,Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,April 2020,2,1100,7181,7899100,1100,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,975,5128,4999800,975,Chennai
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,September 2020,1,588,5102,2999976,588,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,3,1215,6172,7498980,1215,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,June 2020,2,1250,2399,2998750,1250,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,October 2020,3,1238,9289,11499782,1238,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,September 2020,2,800,4250,3400000,800,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,April 2020,2,1015,8768,8899520,1015,Chennai
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,October 2020,1,538,6278,3377564,538,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,November 2020,1,600,3833,2299800,600,Chennai
Available,Available,Available,Not Available,Available,Not Available,Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,September 2020,2,985,3857,3799145,985,Chennai
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,760,4800,3648000,760,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,September 2020,2,956,4707,4499892,956,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,December 2020,2,840,4761,3999240,840,Chennai
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,October 2020,3,1405,4505,6329525,1405,Chennai
Not Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1351,4299,5807949,1351,Chennai
Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,October 2020,2,986,4411,4349246,986,Chennai
Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2019,3,1565,15463,24199595,1565,Chennai
Available,Available,Not Available,Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,September 2020,3,1310,4199,5500690,1310,Chennai
Not Available,Available,Not Available,Available,Available,Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,October 2020,3,1375,4200,5775000,1375,Chennai
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1204,5999,7222796,1204,Chennai
Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,July 2020,3,1042,4643,4838006,1042,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1548,16667,25800516,1548,Chennai
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,June 2020,3,1479,6500,9613500,1479,Chennai
Available,Available,Available,Available,Available,Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,2,981,3995,3919095,981,Chennai
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,October 2020,3,1320,15000,19800000,1320,Chennai
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,November 2020,2,999,4939,4934061,999,Chennai
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,September 2020,2,1002,3199,3205398,1002,Chennai
Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,November 2020,2,636,3800,2416800,636,Chennai
Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,September 2020,2,1018,5500,5599000,1018,Chennai
Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,November 2020,3,1400,17285,24199000,1400,Chennai
Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,July 2020,4,2474,7729,19121546,2474,Chennai
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,3,NaN,New,NaN,NaN,NaN,December 2020,3,1560,5999,9358440,1560,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,2,785,4500,3532500,785,Chennai
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,2,969,5499,5328531,969,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,June 2020,2,738,4591,3388158,738,Chennai
Not Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,October 2020,3,1280,5700,7296000,1280,Chennai
Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,March 2020,2,932,4660,4343120,932,Chennai
Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,920,4995,4595400,920,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,December 2020,2,850,7300,6205000,850,Chennai
Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,900,4600,4140000,900,Chennai
Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,December 2020,3,1500,10000,15000000,1500,Chennai
Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,December 2020,2,850,3388,2879800,850,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,900,9444,8499600,900,Chennai
Available,Available,Not Available,Available,Not Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,1181,4700,5550700,1181,Chennai
Available,Available,Not Available,Available,Not Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,1546,4700,7266200,1546,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,3,1250,5600,7000000,1250,Chennai
Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,December 2020,3,1200,14583,17499600,1200,Chennai
Available,Available,Not Available,Available,Not Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,2,1093,4700,5137100,1093,Chennai
Available,Available,Not Available,Available,Not Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,1228,4700,5771600,1228,Chennai
Available,Not Available,Available,Available,Not Available,Available,Not Available,Not Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,December 2020,3,1057,5203,5499571,1057,Chennai
Available,Available,Not Available,Available,Not Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,2,947,4700,4450900,947,Chennai
Available,Available,Not Available,Available,Not Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,2,1066,4700,5010200,1066,Chennai
Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,December 2020,2,1112,6294,6998928,1112,Chennai
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,951,7378,7016478,951,Chennai
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1380,7348,10140240,1380,Chennai
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,970,7580,7352600,970,Chennai
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1434,7328,10508352,1434,Chennai
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,1184,7801,9236384,1184,Chennai
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,1248,7750,9672000,1248,Chennai
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,1054,7357,7754278,1054,Chennai
Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,1414,6294,8899716,1414,Chennai
Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,1414,6294,8899716,1414,Chennai
Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,New,NaN,NaN,NaN,December 2020,3,1358,6259,8499722,1358,Chennai
Available,Available,Available,Not Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,1310,5300,6943000,1310,Chennai
Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,New,NaN,NaN,NaN,December 2020,3,1358,6259,8499722,1358,Chennai
Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,1695,18879,31999905,1695,Chennai
Available,Available,Available,Not Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,1335,5300,7075500,1335,Chennai
Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,December 2020,2,1092,6318,6899256,1092,Chennai
Available,Available,Available,Not Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,1355,5300,7181500,1355,Chennai
Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,December 2020,2,1092,6318,6899256,1092,Chennai
Available,Available,Available,Not Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,1320,5300,6996000,1320,Chennai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,October 2020,2,750,5333,3999750,750,Chennai
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,March 2020,3,1281,8508,10898748,1281,Chennai
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,1,507,3950,2002650,507,Chennai
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,702,3950,2772900,702,Chennai
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,701,3950,2768950,701,Chennai
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,1,510,3950,2014500,510,Chennai
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,706,3950,2788700,706,Chennai
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,572,3950,2259400,572,Chennai
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,806,3950,3183700,806,Chennai
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,700,3950,2765000,700,Chennai
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,1,506,3950,1998700,506,Chennai
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,1,504,3950,1990800,504,Chennai
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,1,505,3950,1994750,505,Chennai
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,810,3950,3199500,810,Chennai
